value,label
AVIR,AVIR - Aviragen Therapeutic
AVNW,AVNW - Aviat Networks Inc
AVXL,AVXL - Anavex Lf SC Cmn
AVXS,AVXS - Avexis Inc Cmn Stk
AWRE,AWRE - Aware Inc
AXAR,AXAR - Axar Acquisition Corp
AXARW,AXARW - Axar Acquisition Corp
AXAS,AXAS - Abraxas Petro Corp
AXDX,AXDX - Accelerate Diagnosti
AXGN,AXGN - Axogen Inc Cmn
AXSM,AXSM - Axsome Thera Cmn Stk
AXTI,AXTI - Axt Inc
AYA,AYA - Amaya Inc Cmn Stk
AZPN,AZPN - Aspen Technology Cmn
AZRX,AZRX - Azurrx Biopharma Inc
BABY,BABY - Natus Medical Inc
BANF,BANF - Bancfirst Corp
BANFP,BANFP - Bfc Capital Trust II
BANR,BANR - Banner Corporation
BANX,BANX - Stonecastle Fncl Cp
BASI,BASI - Bioanalytical Syst
BATRA,BATRA - Liberty Braves CS A
BATRK,BATRK - Liberty Braves CS C
BBBY,BBBY - Bed Bath & Beyond
BBC,BBC - Bioshrs Biotec Cl TR
BBGI,BBGI - Beasley Brdcst Gr
BBH,BBH - Vaneck Vectors Biote
BBOX,BBOX - Black Box Cp
BBP,BBP - Bioshrs Biotech Prod
BBRG,BBRG - Bravo Brio Restauran
BBRY,BBRY - Blackberry Limited
BBSI,BBSI - Barrett Business S
BCBP,BCBP - Bcb Bancorp Inc
BCLI,BCLI - Brainstorm Cell Cmn
BCOM,BCOM - B Communications Ltd
BCOR,BCOR - Blucora Inc Cmn
BCOV,BCOV - Brightcove Inc
BCPC,BCPC - Balchem Cp
BCRX,BCRX - Biocryst Pharma Inc
BCTF,BCTF - Bancorp 34 Inc
BDE,BDE - Black Diamond Inc
BDGE,BDGE - Bridge Bancorp Inc
BDSI,BDSI - Biodelivery Sci Intl
BEAT,BEAT - Biotelemetry Inc
BEAV,BEAV - BE Aerospace Inc
BEBE,BEBE - Bebe Stores Inc
BECN,BECN - Beacon Roofing Suppl
BELFA,BELFA - Bel Fuse Cl A
BELFB,BELFB - Bel Fuse Inc Cl B
BFIN,BFIN - Bankfinancial Corpor
BFIT,BFIT - Glbl X Hlth Well ETF
BGCP,BGCP - Bgc Partners Cl A
BGFV,BGFV - Big 5 Sporting
BGNE,BGNE - Beigene Ltd. Ads
BHAC,BHAC - Barington/Hilco Acq
BHACR,BHACR - Barington/Hilco Rgts
BHACU,BHACU - Barington/Hilco Uts
BHACW,BHACW - Barington/Hilco Wts
BHBK,BHBK - Blue Hills Bancorp
BIB,BIB - Proshares Ultra Nasdaq Biotech
BICK,BICK - First Trust BICK Ind
